[INFO] [1775036831.309713452] [trajectory_metrics_node]: TrajectoryMetricsNode ready
  stage: ackermann
  camera_gps_topic: /environment/GPS/GPSSDT/odom
  ambulance_gps_topic: /environment/GPS/GPSSDTAMBULANCE/odom
  estimation_topic: /ackermann_kf/tracks
  target_track_id: 1
  output_dir: /home/isarlab/ros2_humble/metrics_output/esperimento_01/sine_right/esperimento_01_ackermann
  max_abs_pose_m: 500.0
  max_abs_estimate_m: 200.0
  max_abs_error_m: 200.0
  max_pose_step_m: 1.5
  max_pose_speed_mps: 8.0
  max_yaw_rate_rps: 1.5
[INFO] [1775036831.370047492] [trajectory_metrics_node]: GT inizializzata: first_gt_rel_cam = [99.693, 30.099]
[INFO] [1775036831.370519729] [trajectory_metrics_node]: Primo campione stima per target 1: [3.944, -0.817]
[WARN] [1775036846.379027780] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=10.822m, x=99.0154296875, y=19.29996826171875
[WARN] [1775036846.469954642] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=10.718m, x=99.08708984375001, y=19.3999951171875
[WARN] [1775036846.580067154] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=10.613m, x=99.16423828125001, y=19.5000830078125
[WARN] [1775036846.665140681] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=10.510m, x=99.245966796875, y=19.599947509765624
[WARN] [1775036846.770044850] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=10.407m, x=99.33182617187501, y=19.699945068359376
[WARN] [1775036846.866703459] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=10.304m, x=99.42099609375, y=19.79998291015625
[WARN] [1775036846.973656547] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=10.202m, x=99.5126953125, y=19.90008056640625
[WARN] [1775036847.069817436] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=10.100m, x=99.60591796875, y=20.000025634765624
[WARN] [1775036847.168143325] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=10.000m, x=99.70005859375, y=20.10005615234375
[WARN] [1775036847.263894986] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=9.900m, x=99.794140625, y=20.200029296875
[WARN] [1775036847.388262643] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=9.802m, x=99.887607421875, y=20.300244140625
[WARN] [1775036847.470819533] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=9.704m, x=99.97915039062501, y=20.400169677734375
[WARN] [1775036847.567613672] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=9.607m, x=100.0680859375, y=20.49995361328125
[WARN] [1775036847.678548184] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=9.511m, x=100.15408203125, y=20.60010009765625
[WARN] [1775036847.834117505] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=9.415m, x=100.23591796875, y=20.7001123046875
[WARN] [1775036847.835723368] [trajectory_metrics_node]: Scarto camera odom non plausibile: x=-33649750746071.04, y=-2.4452889458987463e-26
[WARN] [1775036847.909543522] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=9.320m, x=100.31296875, y=20.8000830078125
[WARN] [1775036847.910945754] [trajectory_metrics_node]: Scarto camera odom non plausibile: x=-33649750746071.04, y=-2.4452889458987463e-26
[WARN] [1775036848.002291925] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=9.226m, x=100.384482421875, y=20.89990478515625
[WARN] [1775036848.083948168] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=9.131m, x=100.450068359375, y=20.9999267578125
[WARN] [1775036848.169866454] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=9.036m, x=100.50900390625, y=21.0999755859375
[WARN] [1775036848.271348776] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=8.942m, x=100.560712890625, y=21.19994140625
[WARN] [1775036848.370040799] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=8.846m, x=100.604853515625, y=21.300068359375
[WARN] [1775036848.468574998] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=8.751m, x=100.640859375, y=21.399938964843752
