[INFO] [1775036876.147712977] [trajectory_metrics_node]: TrajectoryMetricsNode ready
  stage: fusion
  camera_gps_topic: /environment/GPS/GPSSDT/odom
  ambulance_gps_topic: /environment/GPS/GPSSDTAMBULANCE/odom
  estimation_topic: /yolo/detections_xyz
  target_track_id: 1
  output_dir: /home/isarlab/ros2_humble/metrics_output/esperimento_01/accelerated_right/esperimento_01_fusion
  max_abs_pose_m: 500.0
  max_abs_estimate_m: 200.0
  max_abs_error_m: 200.0
  max_pose_step_m: 1.5
  max_pose_speed_mps: 8.0
  max_yaw_rate_rps: 1.5
[INFO] [1775036876.169495939] [trajectory_metrics_node]: GT inizializzata: first_gt_rel_cam = [100.680, 28.599]
[INFO] [1775036876.170344668] [trajectory_metrics_node]: Primo campione stima per target 1: [3.372, -0.817]
[WARN] [1775036888.542450751] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.847m, x=97.090029296875, y=10.099997558593751
[WARN] [1775036888.640988080] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.848m, x=97.0800390625, y=10.099997558593751
[WARN] [1775036888.740907835] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.850m, x=97.070029296875, y=10.099997558593751
[WARN] [1775036888.838734903] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.852m, x=97.060029296875, y=10.099997558593751
[WARN] [1775036888.943759645] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.854m, x=97.050029296875, y=10.099997558593751
[WARN] [1775036889.039741280] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.856m, x=97.0400390625, y=10.099997558593751
[WARN] [1775036889.137210275] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.858m, x=97.030029296875, y=10.099997558593751
[WARN] [1775036889.240531486] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.860m, x=97.02002929687501, y=10.099997558593751
[WARN] [1775036889.343603479] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.862m, x=97.0100390625, y=10.099997558593751
[WARN] [1775036889.438239730] [trajectory_metrics_node]: Scarto ambulance odom non plausibile: x=9.306539197690574e-27, y=-5.316609648471509e+34
[WARN] [1775036889.538203577] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.866m, x=96.99001953125, y=10.099997558593751
[WARN] [1775036889.635297239] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.868m, x=96.9800390625, y=10.099997558593751
[WARN] [1775036889.748089504] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.870m, x=96.9700390625, y=10.099997558593751
[WARN] [1775036889.840173329] [trajectory_metrics_node]: Scarto ambulance odom non plausibile: x=8.272563431999288e-27, y=-5.316609648471509e+34
[WARN] [1775036889.937588664] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.874m, x=96.9500390625, y=10.099997558593751
[WARN] [1775036890.042813997] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.876m, x=96.94001953125, y=10.099997558593751
[WARN] [1775036890.140039737] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.878m, x=96.930029296875, y=10.099997558593751
[WARN] [1775036890.237271971] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.880m, x=96.92001953125, y=10.099997558593751
[WARN] [1775036890.343578846] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.882m, x=96.910029296875, y=10.099997558593751
